on -3..43,-40..7,-4..40
on -90861..-58437,-23267..-5398,2616..20544
on -8199..-494,-39990..-32228,-75177..-56547
on -86024..-69118,-43300..-8345,103..25459
on 50915..62692,38996..59716,-48904..-17880
on -39749..-21185,-78844..-65189,1734..17238
on -32954..-17916,66435..84502,-40130..-21316
on 61584..73780,-20712..-1677,38878..45170
on 45796..58695,-70161..-47672,2878..31228
on -78582..-56535,-17640..14975,-36315..-21466
on -4160..8618,-29687..-3221,75530..87788
on -78137..-54029,-42166..-24690,40752..59931
on 69729..74049,-16793..9895,-41508..-29918
on -11852..-2623,-85130..-66318,23216..42693
on -76287..-61540,-4794..7900,19191..26682
on 32602..55983,-50325..-24787,-62128..-39196
on -22148..-1170,-62217..-53758,-73565..-36167
on 17439..28883,-76155..-71068,-18908..5736
on 48200..65680,-64455..-27665,25147..31719
on 64795..81991,-8790..7332,-21538..-14052
on -96602..-65239,-5774..19890,-4709..4170
on -7315..21241,35835..51112,-78709..-65080
on 38040..63518,7706..31595,-69544..-59049
on 11022..31768,-60181..-41336,61981..74058
on 60814..79169,-15319..-6431,31482..60354
on 65935..89703,-33779..-17121,11786..44610
on 47215..70647,-57277..-25185,-39314..-20468
on -14898..-4285,13143..33601,72764..86137
on 29194..46178,23821..48382,-78917..-57813
on -60846..-51135,-1470..20626,38111..65359
on -32902..-18054,-81197..-52970,-43062..-19360
on -292..18879,-83298..-58330,-58335..-36532
on -62389..-32864,-26791..-10657,-70702..-58449
on -20825..-13958,-77497..-53968,-59040..-45444
on 29346..56896,-51072..-23769,33955..71536
on -27734..-15957,36696..51387,66196..74129
on 48678..65614,-76307..-57918,-35513..-15294
on -43040..-29368,-34815..-19371,46790..80390
on -28567..-22105,17928..36393,-81680..-65545
on 67248..91645,1559..32758,-40242..-23098
on 36724..63048,48069..57066,18566..44735
on -19855..8205,-22876..5922,61683..88689
on -46483..-34890,30332..66050,38519..52424
on -71057..-46742,58094..76003,17571..32419
on -61818..-45170,-49686..-35378,13446..43846
on -38648..-17655,-63484..-47362,38783..60976
on 49249..54032,25040..40211,54911..70815
on -90457..-59180,-13590..7774,-46897..-27383
on -25833..-6370,-71612..-60010,42945..55834
on -76047..-54916,-9549..16127,49284..56885
on -76789..-55532,-70334..-34488,-18633..3524
on 42295..63723,-66989..-52135,-9423..16511
on -8739..9047,-94231..-68385,843..18296
on 36696..48859,-31653..-3861,-73869..-52590
on -84893..-55445,-33801..-5207,26793..53784
on -27590..-15517,61939..82965,8012..25287
on -23845..-3130,33441..56380,-75575..-54393
on -49590..-28680,-66980..-56632,11731..32502
on -25872..-9457,63491..71388,28939..41410
on 17561..26392,-85114..-69067,17003..23223
on 9257..24618,60390..77736,-15564..-8465
on -72647..-34666,43941..68905,18608..49413
on -35350..-15110,-67690..-37215,-72309..-36728
on -52895..-38678,-75279..-61942,-8339..-2693
on -4350..10691,40327..56362,50641..71742
on 13163..42843,-50227..-25534,-66345..-54724
on 12804..22720,64345..84392,29646..40797
on 2940..20961,53772..62243,-64218..-35808
on -15329..9252,-7827..9759,-97184..-63091
on -43606..-22308,-73706..-43157,35910..60926
on 62751..73464,29164..44599,-25734..614
on 60593..69893,17362..41403,37882..54560
on 53360..75636,-19345..-12541,-41800..-34461
on 22218..55056,-75758..-65816,-3216..-1613
on -43450..-26117,-4078..22034,69628..82208
on 38780..48776,-81886..-66193,-14136..5119
on 38066..76131,-54635..-50106,-34991..-13298
on 70126..76638,11747..16080,15148..39863
on -56772..-43519,-8491..4092,-69663..-60969
on -49178..-38445,-27733..-10309,-71876..-52012
on 23542..53001,41348..54767,50420..63450
on 26594..51105,-36676..-28075,54218..70716
on 52224..68872,-58466..-46953,-34956..-14580
on 3544..11393,55531..84179,-44876..-11566
on -36163..-23271,-90357..-71417,-3517..5870
on -38208..-17207,-49215..-29184,52983..73246
on 38958..52561,-2028..5565,45925..78959
on -57489..-35252,18259..39381,-72512..-40801
on 46613..59329,-73337..-47692,10023..24111
on 66254..89475,12116..30229,-19678..4658
on -65916..-28609,57632..67489,-11829..7076
on 6034..26412,-12523..-6467,-96231..-77020
on -44242..-17421,-29083..155,-80517..-68048
on -31891..-5784,52676..67141,-57318..-33381
on 15602..50635,55675..89601,-8876..29053
on 12405..28611,-1499..20568,-84268..-67917
on 2329..31126,53540..77472,47225..69835
on 52355..70249,-55679..-22110,-64568..-41983
on 54525..74930,-50044..-20045,29342..43786
on 46246..81614,-48348..-44135,-17296..-3467
on 47807..74339,-25213..-8,27998..58852
on 67840..85219,-7359..-2946,26689..39513
on -67655..-54202,-22642..-7348,-54402..-28835
on 20984..42485,43132..74728,-46534..-31519
on 66009..84055,-3179..5259,2563..33587
on -76523..-53193,16573..37349,5706..21580
on -13390..13752,-80290..-67370,-26395..189
on -62867..-40050,2034..20245,47289..75246
on -18832..4816,26348..28598,-81741..-73590
on 42308..77577,46606..61501,-16455..4537
on -12380..8417,-9960..26034,-97408..-69096
on 18436..20736,-49430..-48135,42804..69548
on 40238..75486,-57454..-39330,-35448..-9564
on -34835..-8626,19088..37766,57893..81468
on -80242..-60834,-20847..-3354,31994..41992
on 12788..20601,26059..58171,-74550..-53001
on 61751..83834,-22335..-7018,-45469..-25870
on -3007..23549,-39286..-21872,70498..93172
on 69221..89946,19941..44108,7788..13362
on -95343..-69835,12056..19570,3415..21867
on -90651..-57952,-39119..-18641,2955..34477
on -37223..-16563,68718..81628,-11086..26546
on 62255..90686,-28491..-10328,-11346..-6297
on 42455..76414,11967..31349,41589..49905
on 18591..33641,-19443..-15508,-90926..-58802
on -67254..-53011,46245..63689,375..24815
off -38028..-25623,-83477..-61351,-26028..-16673
on -2199..22797,54212..63567,-72096..-51236
off -54871..-24768,43838..68179,-63088..-36194
on 20497..56978,-11700..15690,64931..81115
off -54381..-34633,8039..17779,-76137..-58795
off 51477..84135,-17379..1866,40822..57539
on 37701..51374,-65141..-46442,22410..54885
off -12548..14428,13703..33056,-79100..-68871
off 15593..20291,-14437..12007,67532..85257
off -55369..-31256,47970..54611,28361..58364
on 49170..61409,-14806..-4147,-65407..-38356
on -18873..11206,-52823..-30293,62812..66448
off -74893..-47904,-34903..-7950,29429..44776
on -24803..-15306,5179..35151,61121..93405
off 28976..48984,-74526..-51739,-31068..-19583
on 52545..65835,9722..40251,42529..73769
off 41358..64764,-27042..-15030,38958..67706
on 21929..54332,-10651..5093,67676..74683
on -7636..9795,-36929..-20539,73351..82547
on 15553..38175,-78459..-40725,-47587..-21396
on -53611..-46052,-77056..-52310,-10669..10590
on -47044..-24817,35785..66765,-47689..-42849
off -41776..-25155,52358..76927,-44718..-18180
on 71962..92575,-13992..13864,20310..38403
on -64296..-45131,-1964..31151,-56286..-38404
on -34043..-4743,24339..54036,-73729..-61189
off 40031..58527,-43220..-23735,-66702..-47898
on -41653..-8827,-71233..-67830,27057..33924
on 42117..50369,-50297..-24887,-58922..-39149
on 44697..47206,44127..74207,-26198..-4204
off -64818..-29508,-75479..-50139,21525..28437
off -36127..-14009,63248..82382,-7088..21515
on -22346..-3316,-34334..-27980,68551..84501
off -63656..-44418,-46240..-37283,44102..63998
on 42848..61454,37274..43040,-42276..-27862
off 25927..39396,36760..55741,62845..65744
on 61099..74396,-44220..-14439,4426..34934
on 38135..64887,-61363..-56987,-27251..-4353
on -41422..-40242,59456..68481,19328..39916
on 27813..50890,44492..70473,30823..38170
on 42407..58114,-58216..-24853,-59380..-46619
off -39591..-24200,-38599..-17971,51337..66646
off 28603..42263,43373..63393,29927..54376
on -70738..-47600,5089..24045,-63275..-44100
on 31533..50084,-70044..-57781,-33619..-11015
on -10455..5948,-17053..7100,77949..91079
off -87903..-50960,-34071..-14546,14359..38573
off -38703..-20975,-13470..3473,73810..91414
on 33655..64872,-25580..-1048,53888..70390
on -71637..-50798,28325..53714,17421..31638
off -55242..-27662,-75377..-60316,-29332..-8736
on -26586..-8155,-87538..-57785,-2040..25080
off 24465..37168,34761..53791,39921..60666
on -16242..-8869,13695..27441,-96161..-73439
off 59033..80092,-8095..11728,42145..60993
off 11437..14692,-66695..-53698,48235..66183
on -54644..-27579,-31468..4132,-71581..-62630
off 46353..58084,-3058..22129,58659..70045
on 37049..55781,-75886..-53260,-622..21244
on -45935..-27782,-44567..-23554,50025..72851
off 55315..89225,-13679..1212,-54007..-26061
on -97689..-70211,7766..18203,-7347..3677
on -44569..-27022,57559..73037,-45160..-22051
off -53250..-29410,-70096..-58881,-33377..973
off -30822..-10238,-82089..-58987,-39229..-7182
off -86427..-66229,-23110..-12319,-2752..22391
off 11202..32323,-91353..-70211,-45981..-7959
on -55765..-20776,67067..74178,-25729..-6326
off -59612..-54141,54186..71718,-13639..3545
on 17333..29248,-92046..-61823,-32686..-13638
off -85001..-68771,7344..34167,-19381..9274
on -22492..-7276,61063..85098,-47228..-9988
off 11683..27384,-11488..26255,-76968..-60851
on -90912..-61678,-7748..4592,2394..22140
off 22854..43131,56525..65481,34055..46279
on 61222..73027,26851..46121,-27180..-9128
off -40801..-4805,-42994..-18670,-90053..-61495
off -15426..9005,67165..77424,-32921..-2590
off -38948..-20859,-16125..6579,-93624..-69605
on 8737..30186,69397..97228,3615..10393
off -82229..-50677,-34930..-22764,25970..46201
on -30586..-10821,-78721..-62793,-60976..-33247
on 8677..43376,-1963..6457,72386..92229
on 18331..52556,59243..83657,30524..31942
off 34147..53274,11028..29158,-74710..-66758
on 22915..35555,-68910..-53186,-37262..-6080
on -57704..-37280,-7..32810,59915..78037
on -34576..-18184,-67359..-42480,49889..51191
on 68833..76004,-47040..-23935,-9774..12179
off -33985..-11402,-19706..-7112,62284..79653
on 65876..83321,-27400..-15906,-30853..-24215
on 13342..33212,-65282..-62183,-47114..-26725
on -42083..-13267,-89352..-60397,-13707..15549
on -2774..9062,8711..37179,69642..88272
on 35832..45938,6145..43491,59531..82381
off -52869..-35126,14291..50238,-66971..-45782
off -60007..-56613,40390..73281,-13989..4637
off -69805..-33370,-64308..-41427,12303..35877
off -20393..-8769,60210..77478,9384..35625
on 29926..57019,-72458..-36233,-55883..-31730
on -63437..-34528,-64513..-62515,-4272..10279
off 15640..28872,52714..74618,35447..50673
off 60533..74155,9756..30773,-50753..-25011
on -75313..-56343,24557..34443,37734..61187
on 45556..73844,-39638..-14275,-58677..-23903
on -28985..-9643,-68309..-45208,54172..76725
off 20003..45372,-28507..-21011,-82535..-67206
off 38757..57238,-77872..-52176,-1571..22315
off 3963..8570,-85377..-50328,-55787..-40193
off -9665..28099,-36864..-22430,-77024..-75149
on 39455..57136,-49959..-22534,33729..53131
off -49257..-28357,-18581..4758,-78146..-58967
on -27820..-7790,-19630..1853,-91091..-62392
off 15496..42544,-87801..-57845,2704..23958
off -33696..-15689,53481..66119,31226..59352
off -14853..18572,-90928..-70354,-45348..-25075
off -51945..-45162,-17663..18077,-69748..-47140
off -38685..-26762,-61621..-57470,-54626..-26565
on -59197..-39711,-58794..-29329,41612..56036
on -61092..-45239,-60204..-43407,-64388..-34354
off -71156..-60166,-35439..-11181,37863..61706
off -54938..-34663,17403..41295,62030..73014
off -15765..9652,-44945..-40294,55918..73261
on -43301..-12340,44378..66941,35850..59199
on -33997..-6707,-69230..-46955,-64569..-40828
on -21735..4727,74446..80740,-8007..3245
on -52407..-32967,-35618..-13383,62442..68079
off 16353..30246,-37565..-26597,54290..84827
on -79714..-59571,21540..34393,-44291..-22042
off 28404..48739,43301..81383,-57562..-32765
off 65068..78093,-44456..-39480,-9124..10872
on 1936..26341,69589..75551,29521..36608
on -93624..-69411,4518..14729,-29385..-5992
on -21378..-6725,68980..94804,165..18574
off -17819..5033,-2206..33484,-96021..-68333
on -13726..14343,-78432..-57454,-51720..-28192
off 36047..67847,-58408..-37640,-39969..-24608
on -50235..-28751,-19198..2573,-74544..-61896
off 27739..49746,-81075..-51944,-17342..948
off -44140..-13447,-87524..-66633,-1378..18189
off -67322..-52524,-71407..-40174,-30055..-10329
on -64253..-41319,31957..46204,27534..45178
on -66932..-50331,39481..63503,-3650..25040
off 2188..12660,-93988..-69989,-7133..754
on -33475..-24315,3029..15804,71485..76334
on 38421..63272,-33224..-23786,-58227..-43105
on 50465..56280,7565..37162,-63999..-36984
on 28671..47377,44756..62563,-62733..-40938
off -74428..-49628,26541..55540,-13135..15370
off -34080..-10628,58681..84157,13989..37447
on 20221..48849,53931..75387,13850..35410
off -45997..-32480,-68402..-48523,-9016..4855
on 49540..62457,49461..63046,-15040..19817
off 37764..59146,47763..56285,31391..42731
off -24327..-6960,9965..45119,56411..91265
off 51617..85885,-19450..-6138,-48520..-27457
off -23396..-17819,70786..83597,-21176..1453
on 51808..65220,4232..8921,-56469..-46083
off -57403..-51066,-67220..-39982,8804..44370
on 10670..18532,-30790..-24088,-92006..-61689
off 26696..40305,11421..23073,63374..84468
off -69519..-40908,-74663..-36465,7741..26549
on 30563..57894,19965..38546,41677..60864
on -75447..-50527,17848..26657,32710..69118
on -84060..-56826,-44333..-27683,20683..30359
on 40356..75101,-45729..-24430,-54208..-47032
off -48628..-32337,-73667..-53337,-60166..-30766
on 43016..66723,52114..63653,-42493..-20463
on 55050..66144,36983..63632,-19611..-4974
off 23794..48581,-36960..-28318,54270..69018
on 26732..50857,-45816..-21969,45753..79664
on 15678..28557,-66232..-52963,-48680..-42545
on -35902..-22950,-16211..-1754,-88655..-68008
off -26285..-18123,-1914..16713,59514..88101
on -44727..-17109,57739..80430,-33461..-21024
off -48050..-29215,-64233..-47352,13408..34765
on 57310..80634,23074..48995,-6140..10145
on -82584..-64412,-36929..-8918,-30744..-20425
on 1762..13898,64026..71221,-57339..-43117
off 46409..76785,-51642..-24778,-27883..-17791
off -37325..-20870,-42767..-30436,-73733..-49594
off -2638..9939,5218..30204,-92271..-72962
on -51641..-19872,-75627..-55223,-8799..4538
on 46279..56352,-5487..13228,-72223..-59547
on 28698..50028,-36550..-27480,-68725..-54961
on -75231..-48661,9764..33430,-58299..-41917
on -3483..23158,13480..25885,72510..95758
off -18675..-2624,16051..39272,60246..78170
off 52280..66124,-64097..-29418,7002..42023
on -30514..-22186,60270..90187,-4397..18590
on 446..19197,-85001..-71792,21425..47374
on 51070..68670,37421..67959,-15610..11603
on -77901..-60148,-44344..-21055,18341..34826
on 70381..84879,-12006..-355,-12304..8343
on -53588..-40065,48904..61274,16395..40150
on -22528..4952,30750..59031,51962..79814
off -63726..-38963,-40859..-23357,-61143..-41380
off 37566..48308,-76087..-54237,-31897..-1304
on -5934..5731,65596..68103,44118..63815
off -59314..-34557,-73628..-51952,-12402..8294
